time, agreement, concentrating, disagreement, interested, thinking, unsure
23859.061,0.7,0.8,0.7,0.9,0.6,0.9
23860.065,0.7,0.8,0.7,0.9,0.6,0.9
23861.07,0.7,0.8,0.7,0.9,0.6,0.9
23862.074,0.7,0.8,0.7,0.9,0.6,0.9
23863.076,0.7,0.8,0.7,0.9,0.6,0.9
23864.078,0.7,0.8,0.7,0.9,0.6,0.9
23865.081,0.7,0.8,0.7,0.9,0.6,0.9
23866.085,0.7,0.8,0.7,0.9,0.6,0.9
23867.088,0.7,0.8,0.7,0.9,0.6,0.9
23868.091,0.7,0.8,0.7,0.9,0.6,0.9
23869.095,0.7,0.8,0.7,0.9,0.6,0.9
23870.101,0.7,0.8,0.7,0.9,0.6,0.9
23871.106,0.7,0.8,0.7,0.9,0.6,0.9
23872.107,0.7,0.8,0.7,0.9,0.6,0.9
23873.111,0.7,0.8,0.7,0.9,0.6,0.9
23874.113,0.7,0.8,0.7,0.9,0.6,0.9
23875.117,0.7,0.8,0.7,0.9,0.6,0.9
23876.122,0.7,0.8,0.7,0.9,0.6,0.9
23877.125,0.7,0.8,0.7,0.9,0.6,0.9
23878.13,0.7,0.8,0.7,0.9,0.6,0.9
23879.132,0.7,0.8,0.7,0.9,0.6,0.9
23880.136,0.7,0.8,0.7,0.9,0.6,0.9
23881.141,0.7,0.8,0.7,0.9,0.6,0.9
23882.143,0.7,0.8,0.7,0.9,0.6,0.9
23883.148,0.7,0.8,0.7,0.9,0.6,0.9
23884.151,0.7,0.8,0.7,0.9,0.6,0.9
23885.155,0.7,0.8,0.7,0.9,0.6,0.9
23886.16,0.7,0.8,0.7,0.9,0.6,0.9
23887.163,0.7,0.8,0.7,0.9,0.6,0.9
23888.168,0.7,0.8,0.7,0.9,0.6,0.9
23889.169,0.7,0.8,0.7,0.9,0.6,0.9
23890.173,0.7,0.8,0.7,0.9,0.6,0.9
23891.174,0.7,0.8,0.7,0.9,0.6,0.9
23892.176,0.7,0.8,0.7,0.9,0.6,0.9
23893.18,0.7,0.8,0.7,0.9,0.6,0.9
23894.183,0.7,0.8,0.7,0.9,0.6,0.9
23895.184,0.7,0.8,0.7,0.9,0.6,0.9
23896.188,0.7,0.8,0.7,0.9,0.6,0.9
23897.191,0.7,0.8,0.7,0.9,0.6,0.9
23898.196,0.7,0.8,0.7,0.9,0.6,0.9
23899.198,0.7,0.8,0.7,0.9,0.6,0.9
23900.199,0.7,0.8,0.7,0.9,0.6,0.9
23901.203,0.7,0.8,0.7,0.9,0.6,0.9
23902.208,0.7,0.8,0.7,0.9,0.6,0.9
23903.21,0.7,0.8,0.7,0.9,0.6,0.9
23904.214,0.7,0.8,0.7,0.9,0.6,0.9
23905.214,0.7,0.8,0.7,0.9,0.6,0.9
23906.215,0.7,0.8,0.7,0.9,0.6,0.9
23907.221,0.7,0.8,0.7,0.9,0.6,0.9
23908.223,0.7,0.8,0.7,0.9,0.6,0.9
23909.225,0.7,0.8,0.7,0.9,0.6,0.9
23910.228,0.7,0.8,0.7,0.9,0.6,0.9
23911.228,0.7,0.8,0.7,0.9,0.6,0.9
23912.231,0.7,0.8,0.7,0.9,0.6,0.9
