"time"," agreement"," concentrating"," disagreement"," interested"," thinking"," unsure"
"19-04-2019 18:36:45:281","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:46:327","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:47:966","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:49:26","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:50:41","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:51:47","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:52:65","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:53:277","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:54:282","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:55:324","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:56:328","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:57:375","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:58:393","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:36:59:395","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:00:397","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:01:402","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:02:608","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:03:611","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:04:615","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:05:619","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:06:639","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:07:688","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:08:943","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:10:188","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:11:193","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:12:199","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:13:318","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:14:492","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:15:528","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:16:533","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:17:553","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:18:555","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:19:650","0.6","0.8","0.1","1.0","0.9","0.3 "
"19-04-2019 18:37:20:957","0.6","0.8","0.1","1.0","0.9","0.3 "
