"time"," agreement"," concentrating"," disagreement"," interested"," thinking"," unsure"
"20-04-2019 00:51:14:431","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:469","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:506","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:543","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:578","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:616","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:655","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:730","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:768","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:804","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:841","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:879","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:914","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:949","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:14:988","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:23","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:59","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:97","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:133","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:168","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:206","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:239","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:275","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:309","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:343","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:377","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:422","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:456","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:489","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:524","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:560","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:596","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:633","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:668","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:706","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:742","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:780","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:835","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:873","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:912","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:953","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:15:994","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:28","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:62","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:95","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:129","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:162","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:197","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:230","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:265","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:298","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:332","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:365","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:404","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:441","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:476","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:511","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:547","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:582","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:617","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:654","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:687","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:724","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:757","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:790","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:824","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:859","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:896","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:930","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:964","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:16:997","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:34","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:71","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:107","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:141","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:175","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:209","0.3","0.3","0.2","0.2","0.9","0.9 "
"20-04-2019 00:51:17:244","0.3","0.3","0.2","0.2","0.9","0.9 "
