timestamp, agreement, concentrating, disagreement, interested, thinking, unsure
20-04-2019 01:45:56:546,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:581,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:618,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:654,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:693,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:733,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:773,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:807,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:843,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:880,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:917,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:954,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:56:988,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:28,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:62,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:98,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:131,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:168,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:205,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:239,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:272,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:310,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:346,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:383,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:417,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:453,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:486,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:519,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:556,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:592,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:629,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:665,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:701,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:734,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:770,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:806,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:840,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:877,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:913,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:947,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:57:983,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:17,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:55,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:93,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:127,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:165,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:199,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:234,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:272,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:305,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:339,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:374,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:410,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:445,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:482,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:520,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:558,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:593,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:630,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:664,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:700,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:733,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:769,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:804,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:840,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:879,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:917,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:955,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:58:993,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:30,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:64,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:100,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:137,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:174,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:208,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:244,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:283,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:320,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:356,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:400,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:434,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:468,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:502,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:537,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:571,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:606,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:643,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:678,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:712,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:747,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:782,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:820,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:853,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:890,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:924,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:957,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:45:59:991,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:26,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:62,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:101,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:135,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:169,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:202,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:241,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:278,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:312,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:347,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:382,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:417,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:452,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:489,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:525,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:564,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:599,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:633,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:668,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:702,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:739,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:772,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:809,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:846,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:882,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:915,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:951,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:00:985,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:22,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:55,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:91,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:128,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:166,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:204,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:238,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:272,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:310,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:344,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:379,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:416,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:454,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:487,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:522,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:556,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:590,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:625,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:661,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:696,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:730,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:764,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:799,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:834,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:869,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:903,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:937,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:01:974,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:7,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:45,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:79,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:114,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:148,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:186,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:223,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:258,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:296,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:333,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:368,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:404,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:437,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:473,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:507,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:546,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:580,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:615,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:653,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:687,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:721,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:754,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:788,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:822,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:855,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:925,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:959,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:02:993,0.3,0.1,0.9,0.3,0.4,0.4
20-04-2019 01:46:03:29,0.3,0.1,0.9,0.3,0.4,0.4
