timestamp,Frustration,Engagement,Meditation,Short_term_engagement,Long_term_engagement
06-04-2019 20:29:24:635,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:657,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:667,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:679,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:691,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:705,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:718,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:730,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:741,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:754,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:766,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:776,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:788,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:798,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:809,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:820,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:832,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:842,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:854,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:867,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:878,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:888,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:900,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:911,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:924,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:934,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:946,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:966,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:977,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:24:990,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:25:6,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:25:19,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:25:28,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:25:41,0.0,0.0,0.0,0.0,0.0 
06-04-2019 20:29:25:52,0.0,0.0,0.0,0.0,0.0 
