TS,HR Raw,Smile,Raise Brow,Clench,Normalized HR,Pleasure,Arousal,Label
2019.04.01.22.20.53,157,0.594486977,0.002457867,0.456458788,0.753846154,0.61280178,0.752996616,0
2019.04.01.22.20.54,157,0.610297232,0.282690841,0.092958768,0.630769231,0.59092687,0.637349269,0
2019.04.01.22.20.54,141,0.610297232,0.282690841,0.092958768,0.630769231,0.59092687,0.637349269,0
2019.04.01.22.20.55,141,0.556337996,0.117388781,0.488266942,0.923076923,0.634617554,0.888554211,0
2019.04.01.22.20.55,179,0.556337996,0.117388781,0.488266942,0.923076923,0.634617554,0.888554211,0
2019.04.01.22.20.56,179,0.290973605,0.464248978,0.881446952,0.730769231,0.484404963,0.784913585,1
2019.04.01.22.20.56,154,0.290973605,0.464248978,0.881446952,0.730769231,0.484404963,0.784913585,1
2019.04.01.22.20.57,154,0.290973605,0.43606472,0.311060629,0.630769231,0.384759654,0.615883425,1
2019.04.01.22.20.57,141,0.290973605,0.43606472,0.311060629,0.630769231,0.384759654,0.615883425,1
2019.04.01.22.20.58,141,0.290973605,0.962622849,0.067527579,0.753846154,0.4507551,0.728053416,1
2019.04.01.22.20.58,157,0.290973605,0.962622849,0.067527579,0.753846154,0.4507551,0.728053416,1
2019.04.01.22.20.59,157,0.290973605,0.826808667,0.415579176,1.007692308,0.536824314,0.961086136,0
2019.04.01.22.20.59,190,0.290973605,0.826808667,0.415579176,1.007692308,0.536824314,0.961086136,0
2019.04.01.22.21.00,190,0.290973605,0.04333774,0.81364776,0.723076923,0.728456736,0.811015145,0
2019.04.01.22.21.00,153,0.290973605,0.04333774,0.81364776,0.723076923,0.728456736,0.811015145,0
2019.04.01.22.21.01,153,0.290973605,0.773902859,0.455938654,0.876923077,0.878822879,0.969317424,0
2019.04.01.22.21.01,173,0.290973605,0.773902859,0.455938654,0.876923077,0.878822879,0.969317424,0
2019.04.01.22.21.02,173,0.290973605,0.909548001,0.93582929,0.7,0.828242635,0.900244881,0
2019.04.01.22.21.02,150,0.290973605,0.909548001,0.93582929,0.7,0.828242635,0.900244881,0
2019.04.01.22.21.03,150,0.290973605,0.087432065,0.353605885,0.630769231,0.5947083,0.656132629,0
2019.04.01.22.21.03,141,0.290973605,0.087432065,0.353605885,0.630769231,0.5947083,0.656132629,0
2019.04.01.22.21.04,141,0.290973605,0.936026286,0.998900262,0.946153846,0.654667707,1.030751419,0
2019.04.01.22.21.04,182,0.290973605,0.936026286,0.998900262,0.946153846,0.654667707,1.030751419,0
2019.04.01.22.21.05,182,0.290973605,0.361145323,0.389602634,0.9,0.548571096,0.853411013,0
2019.04.01.22.21.05,176,0.290973605,0.361145323,0.389602634,0.9,0.548571096,0.853411013,0
2019.04.01.22.21.06,176,0.290973605,0.961073744,0.062352015,0.661538462,0.70176942,0.735076637,0
2019.04.01.22.21.06,145,0.290973605,0.961073744,0.062352015,0.661538462,0.70176942,0.735076637,0
2019.04.01.22.21.07,145,0.290973605,0.937233834,0.098010083,0.923076923,0.345140135,0.817018405,1
2019.04.01.22.21.07,179,0.290973605,0.937233834,0.098010083,0.923076923,0.345140135,0.817018405,1
2019.04.01.22.21.08,179,0.290973605,0.946882602,0.698836134,0.653846154,0.821802164,0.840315741,0
2019.04.01.22.21.08,144,0.290973605,0.946882602,0.698836134,0.653846154,0.821802164,0.840315741,0
2019.04.01.22.21.09,144,0.290973605,0.421515376,0.256462596,0.992307692,0.844136921,0.989959578,0
2019.04.01.22.21.09,188,0.290973605,0.421515376,0.256462596,0.992307692,0.844136921,0.989959578,0
2019.04.01.22.21.10,188,0.290973605,0.487126839,0.5049487,0.776923077,0.882351215,0.886507024,0
2019.04.01.22.21.10,160,0.290973605,0.487126839,0.5049487,0.776923077,0.882351215,0.886507024,0
2019.04.01.22.21.11,160,0.290973605,0.576670175,0.11620063,0.653846154,0.419983603,0.628318097,1
2019.04.01.22.21.11,144,0.290973605,0.576670175,0.11620063,0.653846154,0.419983603,0.628318097,1
2019.04.01.22.21.12,144,0.290973605,0.908342319,0.160479151,0.746153846,0.310978452,0.690197356,1
2019.04.01.22.21.12,156,0.290973605,0.908342319,0.160479151,0.746153846,0.310978452,0.690197356,1
2019.04.01.22.21.13,156,0.290973605,0.442204135,0.122219614,0.915384615,0.3215466,0.772528189,1
2019.04.01.22.21.13,178,0.290973605,0.442204135,0.122219614,0.915384615,0.3215466,0.772528189,1
2019.04.01.22.21.14,178,0.290973605,0.941057515,0.91762576,0.723076923,0.736160069,0.889964838,0
2019.04.01.22.21.14,153,0.290973605,0.941057515,0.91762576,0.723076923,0.736160069,0.889964838,0
2019.04.01.22.21.15,153,0.290973605,0.393264983,0.580767467,0.684615385,0.747917175,0.786643401,0
2019.04.01.22.21.15,148,0.290973605,0.393264983,0.580767467,0.684615385,0.747917175,0.786643401,0
2019.04.01.22.21.16,148,0.290973605,0.13203412,0.735470269,0.623076923,0.213983929,0.591579675,2
2019.04.01.22.21.16,140,0.290973605,0.13203412,0.735470269,0.623076923,0.213983929,0.591579675,2
2019.04.01.22.21.17,140,0.290973605,0.308500082,0.191760027,0.838461538,0.777214566,0.848316237,0
2019.04.01.22.21.17,168,0.290973605,0.308500082,0.191760027,0.838461538,0.777214566,0.848316237,0
2019.04.01.22.21.18,168,0.290973605,0.540303808,0.464846378,0.738461538,0.279093217,0.686428032,1
2019.04.01.22.21.18,155,0.290973605,0.540303808,0.464846378,0.738461538,0.279093217,0.686428032,1
2019.04.01.22.21.19,155,0.290973605,0.172171733,0.581934634,0.984615385,0.310239519,0.853799137,1
2019.04.01.22.21.19,187,0.290973605,0.172171733,0.581934634,0.984615385,0.310239519,0.853799137,1
2019.04.01.22.21.20,187,0.290973605,0.699755794,0.164852366,0.946153846,0.406557741,0.841709149,1
2019.04.01.22.21.20,182,0.290973605,0.699755794,0.164852366,0.946153846,0.406557741,0.841709149,1
2019.04.01.22.21.21,182,0.290973605,0.688162617,0.904456344,1.007692308,1.01536077,1.147271205,0
2019.04.01.22.21.21,190,0.290973605,0.688162617,0.904456344,1.007692308,1.01536077,1.147271205,0
2019.04.01.22.21.22,190,0.290973605,0.819380632,0.12531986,0.992307692,0.50200789,0.904702898,0
2019.04.01.22.21.22,188,0.290973605,0.819380632,0.12531986,0.992307692,0.50200789,0.904702898,0
2019.04.01.22.21.23,188,0.290973605,0.182377502,0.698449055,0.692307692,0.762131678,0.795260873,0
2019.04.01.22.21.23,149,0.290973605,0.182377502,0.698449055,0.692307692,0.762131678,0.795260873,0
2019.04.01.22.21.24,149,0.290973605,0.548194122,0.49126149,0.892307692,0.401783037,0.831846815,1
2019.04.01.22.21.24,175,0.290973605,0.548194122,0.49126149,0.892307692,0.401783037,0.831846815,1
2019.04.01.22.21.25,175,0.290973605,0.481213512,0.150785446,0.923076923,0.479735795,0.829309865,1
2019.04.01.22.21.25,179,0.290973605,0.481213512,0.150785446,0.923076923,0.479735795,0.829309865,1
2019.04.01.22.21.26,179,0.290973605,0.307422713,0.228536965,0.707692308,0.856447589,0.784738664,0
2019.04.01.22.21.26,151,0.290973605,0.307422713,0.228536965,0.707692308,0.856447589,0.784738664,0
2019.04.01.22.21.27,151,0.290973605,0.52111399,0.906344596,0.869230769,0.635405256,0.931075664,0
2019.04.01.22.21.27,172,0.290973605,0.52111399,0.906344596,0.869230769,0.635405256,0.931075664,0
2019.04.01.22.21.28,172,0.290973605,0.676825215,0.839881962,0.923076923,0.920586077,1.052915358,0
2019.04.01.22.21.28,179,0.290973605,0.676825215,0.839881962,0.923076923,0.920586077,1.052915358,0
