timestamp,PupilLeft,PupilRight,ValidityL,ValidityR,Gpx,Gpy,Fixation,Event,AOI
03-04-2019 05:33:59:782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:33:59:884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:33:59:986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:00:909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:34:01:656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
