timestamp,PupilLeft,PupilRight,ValidityL,ValidityR,Gpx,Gpy,Fixation,Event,AOI
03-04-2019 05:16:27:733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:27:834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:27:935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:28:957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:29:979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:30:999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:31:926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:32:947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
03-04-2019 05:16:33:863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
