timestamp,P2,A2,D2
03-04-2019 03:12:05:650,1.5,1.5,2.5
03-04-2019 03:12:05:671,1.5,1.5,2.5
03-04-2019 03:12:05:683,1.5,1.5,2.5
03-04-2019 03:12:05:693,1.5,1.5,2.5
03-04-2019 03:12:05:704,1.5,1.5,2.5
03-04-2019 03:12:05:716,1.5,1.5,2.5
03-04-2019 03:12:05:728,1.5,1.5,2.5
03-04-2019 03:12:05:741,1.5,1.5,2.5
03-04-2019 03:12:05:754,1.5,1.5,2.5
03-04-2019 03:12:05:764,1.5,1.5,2.5
03-04-2019 03:12:05:775,1.5,1.5,2.5
03-04-2019 03:12:05:785,1.5,1.5,2.5
03-04-2019 03:12:05:796,1.5,1.5,2.5
03-04-2019 03:12:05:809,1.5,1.5,2.5
03-04-2019 03:12:05:820,1.5,1.5,2.5
03-04-2019 03:12:05:832,1.5,1.5,2.5
03-04-2019 03:12:05:842,1.5,1.5,2.5
03-04-2019 03:12:05:853,1.5,1.5,2.5
03-04-2019 03:12:05:863,1.5,1.5,2.5
03-04-2019 03:12:05:875,1.5,1.5,2.5
03-04-2019 03:12:05:888,1.5,1.5,2.5
03-04-2019 03:12:05:901,1.5,1.5,2.5
03-04-2019 03:12:05:912,1.5,1.5,2.5
03-04-2019 03:12:05:926,1.5,1.5,2.5
03-04-2019 03:12:05:938,1.5,1.5,2.5
03-04-2019 03:12:05:949,1.5,1.5,2.5
03-04-2019 03:12:05:960,1.5,1.5,2.5
03-04-2019 03:12:05:970,1.5,1.5,2.5
03-04-2019 03:12:05:981,1.5,1.5,2.5
03-04-2019 03:12:05:993,1.5,1.5,2.5
03-04-2019 03:12:06:4,1.5,1.5,2.5
03-04-2019 03:12:06:14,1.5,1.5,2.5
03-04-2019 03:12:06:25,1.5,1.5,2.5
03-04-2019 03:12:06:36,1.5,1.5,2.5
03-04-2019 03:12:06:47,1.5,1.5,2.5
03-04-2019 03:12:06:59,1.5,1.5,2.5
03-04-2019 03:12:06:71,1.5,1.5,2.5
03-04-2019 03:12:06:81,1.5,1.5,2.5
03-04-2019 03:12:06:93,1.5,1.5,2.5
03-04-2019 03:12:06:103,1.5,1.5,2.5
03-04-2019 03:12:06:115,1.5,1.5,2.5
03-04-2019 03:12:06:127,1.5,1.5,2.5
03-04-2019 03:12:06:137,1.5,1.5,2.5
03-04-2019 03:12:06:147,1.5,1.5,2.5
03-04-2019 03:12:06:158,1.5,1.5,2.5
03-04-2019 03:12:06:168,1.5,1.5,2.5
03-04-2019 03:12:06:182,1.5,1.5,2.5
03-04-2019 03:12:06:194,1.5,1.5,2.5
03-04-2019 03:12:06:204,1.5,1.5,2.5
03-04-2019 03:12:06:215,1.5,1.5,2.5
03-04-2019 03:12:06:229,1.5,1.5,2.5
03-04-2019 03:12:06:244,1.5,1.5,2.5
03-04-2019 03:12:06:254,1.5,1.5,2.5
03-04-2019 03:12:06:310,1.5,1.5,2.5
03-04-2019 03:12:06:321,1.5,1.5,2.5
03-04-2019 03:12:06:331,1.5,1.5,2.5
03-04-2019 03:12:06:343,1.5,1.5,2.5
03-04-2019 03:12:06:354,1.5,1.5,2.5
03-04-2019 03:12:06:364,1.5,1.5,2.5
03-04-2019 03:12:06:376,1.5,1.5,2.5
03-04-2019 03:12:06:386,1.5,1.5,2.5
03-04-2019 03:12:06:397,1.5,1.5,2.5
03-04-2019 03:12:06:408,1.5,1.5,2.5
03-04-2019 03:12:06:418,1.5,1.5,2.5
03-04-2019 03:12:06:430,1.5,1.5,2.5
03-04-2019 03:12:06:443,1.5,1.5,2.5
